Measure Code	Full Name	CMS Weight	Category	Eligible Population	Numerator (Gap Closes When)	2-Star Cut	3-Star Cut	4-Star Cut	5-Star Cut	Key ICD-10 Codes	Key CPT Codes	Key NDC/Drug Classes	Clinical Notes
COL	Colorectal Cancer Screening	1	Screenings	Adults age 45-75, continuously enrolled	Colonoscopy in 10yr, FIT in 1yr, or Cologuard in 3yr	0.50	0.60	0.70	0.78	Z12.11 (screening encounter)	45378, 45380, 45385 (colonoscopy); 82270, 82274 (FIT/FOBT); 81528 (Cologuard)	N/A	FIT/Cologuard are easier alternatives to colonoscopy. Many patients avoid due to prep burden.
BCS	Breast Cancer Screening	3	Screenings	Females age 50-74, continuously enrolled	Mammogram in last 2 years	0.60	0.70	0.78	0.84	Z12.31 (screening encounter)	77067 (bilateral screening mammo); 77066, 77065 (diagnostic)	N/A	Triple-weighted. Mobile mammogram vans increase access. Digital breast tomosynthesis (3D mammo) also counts.
EED	Eye Exam for Patients with Diabetes	3	Screenings	Age 18-75 with diabetes (E10/E11), continuously enrolled	Retinal eye exam in measurement year	0.45	0.55	0.65	0.75	E10.x, E11.x (diabetes); H36.0x (diabetic retinopathy)	92002-92014 (ophthalmology visit); 67228 (retinal treatment); 92250 (fundus photography)	N/A	Triple-weighted. Retinal imaging telehealth counts in some plans. Annual requirement.
FVA	Adult Immunization Status - Tdap/Td	1	Vaccines	Adults age 19+, continuously enrolled	Tdap or Td vaccine documented per ACIP schedule	0.30	0.40	0.50	0.60	Z23 (vaccination encounter)	90715 (Tdap); 90714 (Td)	CVX: 115 (Tdap), 138 (Td)	Process measure, weight 1. Tdap booster every 10 years. Many adults unaware they need it.
FVO	Pneumococcal Vaccination	1	Vaccines	Adults age 65+, continuously enrolled	PCV20 or PCV15+PPSV23 per ACIP guidelines	0.40	0.50	0.60	0.70	Z23 (vaccination encounter)	90671 (PCV20); 90677 (PCV15); 90732 (PPSV23)	CVX: 216 (PCV20), 215 (PCV15), 33 (PPSV23)	New ACIP recommendation (2022): PCV20 alone is preferred. Simplifies from previous 2-dose regimen.
AIS	Adult Immunization Status - Zoster	1	Vaccines	Adults age 50+, continuously enrolled	Shingrix (recombinant zoster vaccine) 2-dose series	0.30	0.40	0.50	0.60	Z23 (vaccination encounter)	90750 (Shingrix)	CVX: 187 (Shingrix)	Requires 2 doses, 2-6 months apart. Retail price ~$200/dose but $0 under MA. Previous Zostavax does not count.
FLU	Influenza Vaccination	1	Vaccines	Adults age 19+, continuously enrolled	Flu vaccine during current flu season (Aug 1 - Mar 31)	0.40	0.50	0.60	0.70	Z23 (vaccination encounter)	90686, 90688 (standard); 90756 (high-dose 65+)	CVX: 197, 205, 185	Annual measure. High-dose recommended for 65+. Walk-in pharmacies lowest barrier.
CBP	Controlling High Blood Pressure	3	Chronic	Age 18-85 with hypertension (I10-I13), continuously enrolled	Most recent BP reading < 140/90	0.50	0.60	0.70	0.78	I10 (essential HTN); I11.x, I12.x, I13.x	99213-99215 (office visit with vitals)	Antihypertensives: ACE/ARB, CCB, diuretics, beta-blockers	Triple-weighted. Home BP monitors with validated readings may count. Requires clinical documentation of BP value.
BPD	Blood Pressure Control for Diabetes	3	Chronic	Age 18-75 with diabetes AND hypertension, continuously enrolled	Most recent BP reading < 140/90	0.50	0.60	0.70	0.78	E10/E11 (diabetes) + I10-I13 (HTN)	99213-99215 (office visit with vitals)	Same as CBP + diabetes meds	Triple-weighted. Same BP target as CBP but only for patients with both conditions. Integrated care approach.
HBD	Hemoglobin A1C Control for Diabetes	3	Chronic	Age 18-75 with diabetes (E10/E11), continuously enrolled	Most recent A1C < 8.0%	0.50	0.60	0.70	0.78	E10.x, E11.x (diabetes)	83036 (HbA1c test)	Metformin, sulfonylureas, DPP-4i, GLP-1, SGLT2i, insulin	Triple-weighted. CMS uses < 8.0 (not < 7.0) to avoid hypoglycemia risk in elderly. Quarterly monitoring.
KED	Kidney Health Evaluation for Diabetes	1	Chronic	Age 18-85 with diabetes, continuously enrolled	Both eGFR AND uACR tests in measurement year	0.40	0.50	0.60	0.70	E10/E11 (diabetes); N18.x (CKD)	82043 (microalbumin/uACR); 82565 (creatinine for eGFR)	N/A	Process measure. Requires BOTH tests in same year. Home test kits for uACR available. Early CKD detection slows progression.
MAC	Medication Adherence for Cholesterol (Statins)	3	Med Adherence	Age 21+ with cardiovascular disease + statin Rx, continuously enrolled	Statin PDC >= 80% during measurement year	0.78	0.84	0.89	0.93	I25.x (IHD); E78.x (hyperlipidemia)	N/A (pharmacy claims)	HMG-CoA reductase inhibitors (statins): atorvastatin, rosuvastatin, simvastatin, pravastatin, etc. GPI: 3940xx	Triple-weighted (returning 2027). PDC calculated from Part D PDE claims. 90-day mail order helps adherence. Side effect counseling critical.
MRA	Medication Adherence for Hypertension (RAS Antagonists)	3	Med Adherence	Age 18+ with diabetes + hypertension + ACE/ARB Rx, continuously enrolled	ACE/ARB PDC >= 80% during measurement year	0.78	0.84	0.89	0.93	E10/E11 (diabetes) + I10-I13 (HTN)	N/A (pharmacy claims)	ACE inhibitors (lisinopril, enalapril, ramipril); ARBs (losartan, valsartan, irbesartan). GPI: 3610xx, 3615xx	Triple-weighted. Common side effects: ACE cough (switch to ARB), ARB dizziness. Auto-refill enrollment helps.
MDS	Medication Adherence for Diabetes (Statins)	3	Med Adherence	Age 40-75 with diabetes + statin Rx, continuously enrolled	Statin PDC >= 80% during measurement year	0.78	0.84	0.89	0.93	E10/E11 (diabetes)	N/A (pharmacy claims)	Same statin NDCs as MAC but denominator is diabetes patients	Triple-weighted. Overlaps with MAC for patients with both diabetes and CVD. Statin recommended for all diabetics 40-75 per ADA guidelines.
DSF	Depression Screening and Follow-Up	3	Mental Health	Adults age 18+, continuously enrolled	Positive depression screen (PHQ-9 >= 10) with follow-up plan within 30 days	0.40	0.50	0.60	0.70	F32.x, F33.x (depression); Z13.89 (screening)	96127 (brief emotional assessment); 90791 (psych evaluation); 90834, 90837 (therapy)	N/A	Triple-weighted. 30-day window is tight. Follow-up = documented plan (therapy referral, medication start, or additional assessment). Telehealth counts.
DRR	Depression Remission or Response	3	Mental Health	Age 18+ with new depression episode, continuously enrolled	PHQ-9 score < 5 (remission) within 12 months of diagnosis	0.15	0.25	0.35	0.45	F32.x, F33.x (depression)	96127 (PHQ-9 screening); 90834, 90837 (therapy)	SSRIs, SNRIs, tricyclics, MAOIs, atypicals. GPI: 5810xx-5818xx	Triple-weighted. Hardest measure to close. Requires actual clinical improvement. Medication adherence + therapy = best outcomes. Cut points are low.
DMC02	Antidepressant Medication Management	3	Mental Health	Age 18+ with new antidepressant dispensing + depression Dx, continuously enrolled	PDC >= 80% through acute phase (84 days) AND continuation phase (180 days)	0.50	0.60	0.70	0.80	F32.x, F33.x (depression)	N/A (pharmacy claims)	SSRIs, SNRIs, tricyclics, MAOIs, bupropion, mirtazapine. GPI: 5810xx-5818xx	Triple-weighted. Two phases: acute (84 days from first fill) and continuation (180 days). Early discontinuation common at 4-6 weeks when side effects peak.
TRC_M	Transitions of Care - Medication Reconciliation	1	Care Coordination	Adults discharged from inpatient within 30 days, continuously enrolled	Medication reconciliation completed within 30 days of discharge	0.40	0.50	0.60	0.70	Z87.x (personal history); Z09 (follow-up after treatment)	99495 (TCM 14-day); 99496 (TCM 7-day); 90862 (med management)	N/A	Process measure. Requires documented medication reconciliation by prescriber or pharmacist within 30 days of IP discharge. Time-sensitive.
